xmin,xmax,y,dy
0.400,0.930,6.9637e-01,1.4438e-02
0.930,1.470,2.2681e-01,7.0228e-03
1.470,2.000,8.6430e-02,3.4677e-03
2.000,2.530,3.3682e-02,1.6830e-03
2.530,3.070,1.7524e-02,1.0832e-03
3.070,3.600,8.5315e-03,7.0934e-04
3.600,4.130,4.6881e-03,3.5727e-04
4.130,4.670,3.6550e-03,3.0562e-04
4.670,5.200,2.3258e-03,2.6421e-04
5.200,5.730,1.5790e-03,1.9782e-04
5.730,6.270,1.1287e-03,1.0858e-04
6.270,6.800,7.3849e-04,7.3650e-05
6.800,7.330,4.4640e-04,5.5518e-05
7.330,7.870,4.5196e-04,5.9388e-05
7.870,8.400,2.5639e-04,3.5169e-05
8.400,8.930,1.7779e-04,2.2713e-05
8.930,9.470,1.7278e-04,2.3311e-05
9.470,10.000,1.2355e-04,1.8692e-05
